"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"devarrow",1,1260,,,,,,,,
"devo",4,583,2,855,3,1021,24,312,3,1188
"dexy's midnight runners",6,463,6,496,2,1292,,,,
"diamond head",4,583,1,1301,2,1292,2,1500,,
"diana ross",1,1260,1,1301,,,1,2135,,
"diana ross & the supremes",3,679,1,1301,5,761,1,2135,6,854
"diana ross and the supremes",2,840,2,855,,,,,,
"die krupps",32,164,,,,,,,3,1188
"digitalism",83,72,1,1301,1,1982,6,887,1,2066
"dilly dally",1,1260,,,,,,,,
"dinosaur jr.",2,840,,,2,1292,17,396,5,948
"dion",1,1260,,,,,,,,
"diplo",6,463,,,,,,,,
"dire straits",1,1260,,,,,1,2135,,
"dirty projectors",2,840,3,685,4,865,1,2135,,
"dirty south & those usual suspects feat. erik hecht | swedish house mafia vs. tinie tempah",2,840,,,,,,,,
"disco biscuits",3,679,,,,,1,2135,,
"disturbed",3,679,1,1301,4,865,,,,
"dizzee rascal",3,679,1,1301,,,,,,
"dizzee rascal and armand van helden",1,1260,,,,,,,,
"dj danger mouse",1,1260,,,,,,,,
"dj dolores",1,1260,,,,,,,1,2066
"dj who",1,1260,,,,,,,,
"dodgy",3,679,,,,,,,,
"doe",1,1260,,,,,,,,
"don covay",1,1260,1,1301,,,,,,
"don felder",1,1260,,,,,,,,
"donna summer",5,507,,,,,11,598,92,49
"donovan",34,156,10,375,24,259,7,821,35,199
"dorothy",19,242,2,855,1,1982,2,1500,,
"dot",1,1260,,,,,,,,
"double",4,583,,,,,,,,
"double ferrari",1,1260,,,,,,,,
"dover",2,840,,,,,,,,
"doves",2,840,2,855,4,865,9,707,1,2066
"down by law",5,507,,,,,,,,
"dr feelgood",16,273,8,428,4,865,,,,
"dr. dog",4,583,2,855,3,1021,3,1236,1,2066
"dr. feelgood",5,507,,,,,8,761,9,716
"dr. pangloss: adolph green, candide: jerry hadley, cunegonde: june anderson, maximillian: kurt ollmann, paquette: della jones, london symphony orchestra & chorus, leonard bernstein",1,1260,,,,,,,,
"dragonette",1,1260,2,855,1,1982,,,11,611
"drake, big freedia, 5thward weebie",1,1260,1,1301,,,,,,
"drazy hoops",1,1260,,,,,,,,
"dream theater",21,228,,,11,496,,,,
"dropkick murphys",15,285,4,599,6,685,7,821,12,563
"dua lipa",8,408,2,855,13,426,95,65,54,121
"duane eddy",1,1260,,,,,1,2135,,
"duck sauce ",2,840,1,1301,2,1292,,,,
"duffy",2,840,,,,,,,,
"dum dum girls",2,840,16,291,1,1982,3,1236,13,515
"duran duran",303,13,146,33,235,5,132,37,96,46
"durand jones & the indications",1,1260,1,1301,,,,,,
"dusty springfield",14,298,7,458,19,312,3,1236,4,1038
"dutch uncles",1,1260,3,685,,,,,,
"e.s.t.",1,1260,1,1301,,,,,,
"eagle eye cherry",1,1260,,,1,1982,,,,
"earl van dyke and the soul brothers",2,840,2,855,,,1,2135,,
"early day miners",3,679,,,,,,,,
"earth, wind & fire",1,1260,,,5,761,1,2135,2,1439
"eartha kitt",2,840,,,,,,,,
"eastern lane",2,840,1,1301,1,1982,,,,
"eaves",1,1260,,,,,,,,
"echo & the bunnymen",31,168,61,106,20,302,9,707,1,2066
"echobelly",2,840,,,,,,,,
"echosmith",1,1260,,,,,,,,
"ed sheeran",1,1260,,,,,,,,
"ed the dog",5,507,3,685,1,1982,,,,
"eddie & the hot rods",2,840,1,1301,,,,,,
